player,team,position,games_played,current_points,avg_points_per_game,points_per_90,total_goal_involvement,recent_form_3_games,consistency,projected_simple,projected_form,projected_efficiency,projected_expected,final_projection,value_rating,value,points_per_million
Bukayo Saka,ARS,MID,9,31,3.44,3.87,2,5.67,3.24,130.72,195.33333333333334,147.06,99.18222222222222,143.0738888888889,7.299928993451794,8.681286661643773,16.48072393704349
Enzo Fernández,CHE,MID,9,37,4.11,4.11,3,3.67,3.82,156.18,143.33333333333331,156.18,108.01777777777778,140.92777777777778,5.386375861510116,11.588902247696184,12.160580421307248
Adrien Truffert,BOU,DEF,9,40,4.44,4.44,2,3.0,2.88,168.72000000000003,127.0,168.72000000000003,44.25333333333333,139.8906666666667,9.05243766657978,6.8448754150688975,20.437284564551657
Ryan Sessegnon,FUL,MID,9,39,4.33,4.43,4,4.33,2.92,164.54,164.66666666666666,168.33999999999997,60.13777777777778,139.4211111111111,11.73019391550077,5.264603872606987,26.482735355750698
Cody Gakpo,LIV,MID,9,31,3.44,4.0,3,5.0,2.74,130.72,176.0,152.0,93.12444444444444,137.9611111111111,6.495572004139556,9.407660429684846,14.664763055837971
James Garner,EVE,MID,9,39,4.33,4.33,3,3.67,2.4,164.54,145.33333333333331,164.54,76.89333333333333,137.82666666666665,7.80572844097131,7.82099783519891,17.62264477895247
Kristoffer Ajer,BRE,DEF,9,16,1.78,8.08,1,2.67,2.05,67.64,93.33333333333333,307.04,25.40888888888889,135.69111111111113,6.63483958175132,9.058646720142129,14.979181251146326
Mats Wieffer,BHA,MID,9,20,2.22,7.64,4,3.67,2.11,84.36000000000001,126.33333333333333,290.32,40.10666666666667,135.28,10.634392556617147,5.634602165629258,24.008793526755102
Josh Cullen,BUR,MID,9,38,4.22,4.58,0,4.33,1.09,160.35999999999999,163.66666666666666,174.04,42.76888888888889,135.20888888888888,5.825506179930158,10.280492666097008,13.15198534548646
Chris Rigg,SUN,MID,9,9,1.0,11.47,0,1.33,0.87,38.0,47.666666666666664,435.86,14.155555555555555,133.92055555555555,5.26043431647738,11.276335559903451,11.876247815092706
Ollie Watkins,AVL,FWD,9,35,3.89,4.31,3,3.67,3.1,147.82,141.33333333333331,163.77999999999997,56.00888888888889,133.59733333333332,7.706539655588422,7.678576634602264,17.39871068438629
Kobbie Mainoo,MUN,MID,9,9,1.0,11.81,0,1.0,0.0,38.0,38.0,448.78000000000003,9.257777777777777,133.50944444444443,13.645505078949485,4.333758678410813,30.806847900770112
Chris Richards,CRY,DEF,9,35,3.89,3.89,0,3.33,0.93,147.82,131.66666666666669,147.82,57.04,133.19533333333334,6.837240706180343,8.62880173946941,15.436133237837447
